116th Bill Name,117th Bill Name,Long Title
116-HB4050,117-HB2101,"To direct the Administrator of the Environmental Protection Agency to award grants for projects that are consistent with zero-waste practices, and for other purposes."
116-HB8386,117-HB2985,"To amend the Omnibus Crime Control and Safe Streets Act of 1968 to provide for the eligibility of rural community response pilot programs for funding under the Comprehensive Opioid Abuse Grant Program, and for other purposes."
116-HB8289,117-HB7841,"To amend title 38, United States Code, to grant family of members of the uniformed services temporary annual leave during the deployment of such members, and for other purposes."
116-HB8534,117-HB6227,"To amend the Richard B. Russell National School Lunch Act to allow direct certification of children in households of active duty members of the Armed Forces for certain Federal school meal programs, and for other purposes."
116-HB8809,117-HB8072,"To review the termination characterization of former employees of the Department of State who were fired by reason of the sexual orientation of such employees, and for other purposes."
116-HB5395,117-HB3080,"To protect law enforcement officers, and for other purposes."
116-HB5558,117-HB1879,"To promote American leadership in vehicle manufacturing, job creation, improved air quality, and climate protection through domestic manufacturing of low- and zero-emission vehicles and development of electric vehicle charging networks, and for other purposes."
116-HB8894,117-HB6512,"To repeal the authority of the Food and Drug Administration to require that drugs be dispensed only upon prescription, and for other purposes."
116-HB5971,117-HB9225,"To amend the Immigration Services and Infrastructure Improvements Act of 2000 to provide for additional rules regarding processing of immigration applications, and for other purposes."
116-HB8267,117-HB7962,"To amend the Energy Policy and Conservation Act to modify the definition of water heater under energy conservation standards, and for other purposes."
116-HB3740,117-HB2086,"To amend the Immigration and Nationality Act to simplify and rename the H-2C worker program, and for other purposes."
116-HB960,117-HB829,"To allow certain grants to be used for the purpose of assisting victims of female genital mutilation, to classify the offense of female genital mutilation as a part II crime for purposes of the Uniform Crime Reports, and for other purposes."
116-HB5303,117-HB479,To establish a moratorium on oil and gas leasing on public land on the Central Coast of California.
116-HB5417,117-HB1687,To amend the Immigration and Nationality Act to add membership in a significant transnational criminal organization to the list of grounds of inadmissibility and to prohibit the provision of material support or resources to such organizations.
116-HB4538,117-HB853,To amend title III of the Public Health Service Act to limit the orphan drug exclusion under the drug discount program under section 340B of such title.
116-HB6683,117-HB3782,"To provide loan forgiveness for certain borrowers of Department of Agriculture direct farm loans, and for other purposes."
116-HB8332,117-HB4781,"To amend the Energy Policy Act of 2005 to reauthorize a program to address orphaned, abandoned, or idled wells on Federal land, to establish a program to provide grants to States and Tribes to address orphaned wells, and for other purposes."
116-HB2818,117-HB783,To amend the Richard B. Russell National School Lunch Act to improve the efficiency of summer meals.
116-HB6952,117-HB316,To direct the President to appoint a Medical Supplies Response Coordinator to coordinate the efforts of the Federal Government regarding the supply and distribution of certain supplies and equipment relating to COVID-19.
116-HB7641,117-HB3278,To amend the Internal Revenue Code of 1986 to apply the mailbox rule to certain payments made through the Electronic Federal Tax Payment System.
116-HB7868,117-HB2771,"To amend the Public Health Service Act to improve the health and well-being of maltreated infants and toddlers through the implementation of infant-toddler court teams within States, and for other purposes."
116-HB5380,117-HB6358,"To amend title II of the Social Security Act to require the Commissioner of Social Security to enter into agreements with States to share data related to individuals subject to guardianship, and for other purposes."
116-HB3440,117-HB1802,"To amend the Legislative Reorganization Act of 1946 to reduce the rates of pay of Members of Congress during a fiscal year if Congress has not agreed to a concurrent resolution on the budget for such fiscal year, to repeal the automatic appropriation of funds for the salaries of Members of Congress, and for other purposes."
116-HB8826,117-HB2455,To amend the IMPACT Act of 2014 to reset data collection and the development of a payment system technical prototype for post-acute care providers under the Medicare program to take into account the effects of COVID-19.
116-HB2074,117-HB2435,"To amend the Federal Food, Drug, and Cosmetic Act to require the label of a drug that is intended for human use and contains an ingredient that is derived directly or indirectly from a gluten-containing grain to identify each such ingredient, and for other purposes."
116-HB6596,117-HB464,To realign the nuclear forensics and attribution activities of the Federal Government from the Department of Homeland Security to the National Nuclear Security Administration.
116-HB4014,117-HB2202,"To repeal the exemption for hydraulic fracturing in the Safe Drinking Water Act, and for other purposes."
116-HB4788,117-HB2645,To address the needs of workers in industries likely to be impacted by rapidly evolving technologies.
116-HB3136,117-HB2097,"To direct the Secretary of Energy to establish a program for the interim storage of high-level radioactive waste and spent nuclear fuel, and for other purposes."
116-HB8881,117-HB2453,"To provide grants to States that do not suspend, revoke, or refuse to renew a driver's license of a person or refuse to renew a registration of a motor vehicle for failure to pay a civil or criminal fine or fee, and for other purposes."
116-HB7537,117-HB7515,To amend the Internal Revenue Code of 1986 to provide an exception from the passive loss rules for investments in specified medical research small business pass-thru entities.
116-HB8180,117-HB286,"To amend the Endangered Species Act of 1973 to exclude the gray wolf from the authority of such Act, to remove the gray wolf from the lists of threatened species and endangered species published pursuant to such Act, and for other purposes."
116-HB7191,117-HB1598,"To amend the Omnibus Crime Control and Safe Streets Act of 1968 to condition eligibility for grants under the Edward Byrne Memorial Justice Assistance Grant Program, and for other purposes."
116-HB8924,117-HB2215,"To amend the National Voter Registration Act of 1993 to treat the lease for a dwelling unit under certain federally assisted housing programs as a simultaneous application for voter registration in elections for Federal office, to designate owners of dwelling units under certain federally assisted housing programs as voter registration agencies for purposes of such Act, and for other purposes."
116-HB3103,117-HB1022,"To direct the Secretary of Veterans Affairs to carry out a grant program under which the Secretary shall make grants to private entities for the provision of service dogs to eligible veterans with post-traumatic stress disorder, and for other purposes."
116-HB4943,117-HB2592,To amend the Elementary and Secondary Education Act of 1965 to provide that children who have relocated from Puerto Rico to the States are fully considered for purposes of State allotments under the English Language Acquisition grants.
116-HB7843,117-HB2049,"To amend the Forest and Rangeland Renewable Resources Planning Act of 1974 to promote reforestation following unplanned events on Federal land, and for other purposes."
116-HB8341,117-HB4762,To amend the Rehabilitation Act of 1973 to clarify the definition of competitive integrated employment.
116-HB7505,117-HB7503,"To amend the Internal Revenue Code of 1986 to promote new business innovation, and for other purposes."
116-HB8695,117-HB1584,"To impose a limitation on taxation and fees on transactions by certain securities industry participants, and for other purposes."
116-HB6519,117-HB3984,"To amend title 28, United States Code, to provide a civil action against a foreign state for deliberate concealment or distortion of information with respect to an international public health emergency, and for other purposes."
116-HB5843,117-HB2428,"To provide the Inspector General of the Department of Veterans Affairs testimonial subpoena authority, and for other purposes."
116-HB1592,117-HB9259,"To direct the Secretary of Education to establish a pilot program to award competitive grants for the integration of cybersecurity education, and for other purposes."
116-HB5589,117-HB2750,"To establish an Interagency Working Group on Coastal Blue Carbon, and for other purposes."
116-HB7737,117-HB1402,To amend the Federal Pell Grant Program to support career training opportunities for young Americans.
116-HB8042,117-HB4456,"To provide for agricultural economic injury disaster loans, and for other purposes."
116-HB938,117-HB2853,"To amend the Federal Food, Drug, and Cosmetic Act, with respect to eligibility for approval of a subsequent generic drug, to remove the barrier to that approval posed by the 180-day exclusivity period afforded to a first generic applicant that has not yet received final approval, and for other purposes."
116-HB8030,117-HB377,"To amend title 18, United States Code, to increase certain penalties for assaulting, resisting, or impeding certain officers or employees, and for other purposes."
116-HB8491,117-HB5431,To designate the Chinese Communist Party (CCP) as a transnational organized crime group.
116-HB2387,117-HB2843,"To amend subsection (q) of section 505 of the Federal Food, Drug, and Cosmetic Act to clarify the process for denying certain petitions whose primary purpose is to delay the approval of an application submitted under subsection (b)(2) or (j) of such section 505, and for other purposes."
116-HB164,117-HB101,"To amend title 5, United States Code, to terminate pensions for Members of Congress, and for other purposes."
116-HB7160,117-HB3376,To amend the Communications Act of 1934 to promote broadband deployment by increasing participation in broadband support programs.
116-HB551,117-HB690,"To amend title 18, United States Code, to increase the maximum penalty for mail theft."
116-HB6027,117-HB6543,"To amend title 10, United States Code, to eliminate the recoupment of separation pay, special separation benefits, and voluntary separation incentive payments from members of the Armed Forces who subsequently receive disability compensation under laws administered by the Department of Veterans Affairs and to impose limitations on the authority of the Secretary of Defense to recoup such pay from members who subsequently receive military retired or retainer pay."
116-HB5266,117-HB5173,"To provide for the enhancement of urban agriculture, and for other purposes."
116-HB6026,117-HB1110,"To prohibit the destruction of civil rights memorials, and for other purposes."
116-HB5306,117-HB4143,To amend title XI of the Social Security Act to clarify the mailing requirement relating to social security account statements.
116-HB6217,117-HB2336,"To authorize the establishment of HOPE Account Pilot Projects, HOPE Action Plans Pilot Projects, and competitive grants for pilot projects."
116-HB8874,117-HB331,To amend titles XVIII and XIX of the Social Security Act to provide flexibility in training and competency requirements for skilled nursing facility and nursing facility nursing aides under the Medicare and Medicaid programs.
116-HB5074,117-HB2531,"To amend title 38, United States Code, to make permanent the authority of the Secretary of Veterans Affairs to provide transportation to and from Department of Veterans Affairs facilities in connection with vocational rehabilitation or counseling."
116-HB5836,117-HB1642,"To direct the Attorney General to prioritize the investigation and prosecution of Federal firearms offenses, and for other purposes."
116-HB8764,117-HB824,"To prohibit certain members of the Chinese Communist Party from entering the United States until such time as the Government of the People's Republic of China ceases the theft of the intellectual property of the United States, and for other purposes."
116-HB8125,117-HB5352,To direct the Secretary of Defense to carry out a pilot program to pre-program suicide prevention resources into smart devices issued to members of the Armed Forces.
116-HB8487,117-HB4266,"To prevent energy poverty in at-risk communities, and for other purposes."
116-HB7369,117-HB1064,"To amend the Communications Act of 1934 to amend provisions relating to franchise term and termination and provisions relating to the elimination or modification of requirements in franchises, and for other purposes."
116-HB3422,117-HB7461,To amend the Higher Education Act of 1965 to clarify competency-based education.
116-HB5576,117-HB3971,"To amend title II of the Social Security Act to prevent concurrent receipt of unemployment benefits and Social Security disability insurance, and for other purposes."
116-HB6073,117-HB5918,"To amend title 38, United States Code, to ensure that the Secretary of Veterans Affairs repays members of the Armed Forces for certain contributions made by such members towards Post-9/11 Educational Assistance."
116-HB7374,117-HB1074,"To provide that the deployment of a small personal wireless service facility shall not constitute an undertaking under section 300320 of title 54, United States Code, or a major Federal action for the purposes of section 102(2)(C) of the National Environmental Policy Act of 1969, and for other purposes."
116-HB8410,117-HB2561,"To require the appropriate Federal banking agencies to establish a 3-year phase-in period for de novo financial institutions to comply with Federal capital standards, to provide relief for de novo rural community banks, and for other purposes."
116-HB7574,117-HB3635,"To amend the Public Health Service Act with respect to the Strategic National Stockpile, and for other purposes."
116-HB5249,117-HB5934,"To amend the Child Nutrition Act of 1966 to support women, infants, and children impacted by substance use disorder, and for other purposes."
116-HB4081,117-HB127,"To provide for the licensing of firearm and ammunition possession and the registration of firearms, and to prohibit the possession of certain ammunition."
116-HB7783,117-HB3468,"To amend the CARES Act to expand a national awareness and outreach campaign to address the importance and safety of plasma donation, and for other purposes."
116-HB4948,117-HB506,To provide for the effective use of immigration detainers to enhance public safety.
116-HB7162,117-HB1998,"To amend the Federal Meat Inspection Act to allow the interstate sale of State-inspected meat, and for other purposes."
116-HB8312,117-HB6168,"To amend the Clean Air Act to prohibit the emission of any greenhouse gas in any quantity from any new electric utility steam generating unit, and for other purposes."
116-HB7042,117-HB7932,To amend title IV of the Social Security Act to expand foster parent training and authorize new appropriations to support the obtainment of a driver's license.
116-HB7595,117-HB654,To provide the Administrator of the Drug-Free Communities Support Program the authority to waive the Federal fund limitation for the Drug-Free Communities Support Program.
116-HB2179,117-HB3252,"To amend chapter 44 of title 18, United States Code, to enhance penalties for certain thefts of a firearm from certain Federal firearms licensees, and to criminalize the theft of a firearm from a gun range that rents firearms or a shooting club."
116-HB5759,117-HB6723,To establish a career pathway grant program.
116-HB4623,117-HB5924,"To provide lawful permanent resident status for certain advanced STEM degree holders, and for other purposes."
116-HB8488,117-HB2024,"To establish the Southern Maryland National Heritage Area, and for other purposes."
116-HB7630,117-HB3072,"To amend the Small Business Act to require the Administrator of the Small Business Administration to publish or update a resource guide for small business concerns operating as child care providers, and for other purposes."
116-HB8055,117-HB3795,"To amend the National Science Foundation Authorization Act of 1988 to direct the award of Presidential awards for excellence in teaching of mathematics and science to more teachers from the territories, and for other purposes."
116-HB1769,117-HB2828,To require enforcement against misbranded milk alternatives.
116-HB7176,117-HB475,"To amend title 10, United States Code, to improve dependent coverage under the TRICARE Young Adult Program, and for other purposes."
116-HB5793,117-HB1707,"To ensure operational control of the southwest border, and for other purposes."
116-HB7395,117-HB1526,"To require flags of the United States of America to be domestically made, and for other purposes."
116-HB4939,117-HB1604,"To amend title 18, United States Code, to combat straw purchases of firearms."
116-HB8751,117-HB9116,"To provide for the recognition of certain Alaska Native communities and the settlement of certain claims under the Alaska Native Claims Settlement Act, and for other purposes."
116-HB8292,117-HB6765,"To amend the Water Resources Reform and Development Act of 2014 with respect to the application of the Spill Prevention, Control, and Countermeasure rule to certain farms, and for other purposes."
116-HR1237,117-HR810,Supporting the goals and ideals of American Diabetes Month.
116-HB8578,117-HB624,"To prohibit the use of Federal funds to close or realign the Marine Corps Recruit Depot located at Parris Island, South Carolina."
116-HB7935,117-HB2988,"To amend title 5, United States Code, to modify and enhance protections for Federal Government whistleblowers, and for other purposes."
116-HB5784,117-HB7313,"To amend the Higher Education Act of 1965 to improve programs for minority students in STEM fields, and for other purposes."
116-HB4426,117-HB6573,"To rename the Office of Technology Assessment as the Congressional Office of Technology, to revise the functions and duties of the Office, and for other purposes."
116-HB3131,117-HB3771,"To amend the Public Health Service Act to provide for research and improvement of cardiovascular health among the South Asian population of the United States, and for other purposes."
116-HB6248,117-HB1697,"To amend title 23, United States Code, to increase accessible transportation for individuals with disabilities."
116-HB7389,117-HB2287,"To direct the Secretary of Transportation to carry out a grant program to support efforts to provide fare-free transit service, and for other purposes."
116-HB8290,117-HB7620,"To implement title IX of the Education Amendments of 1972 with respect to elementary and secondary schools, and for other purposes."
116-HB5575,117-HB3550,"To amend the Employee Retirement Income Security Act of 1974, title XXVII of the Public Health Service Act, and the Internal Revenue Code of 1986 to require group health plans and health insurance issuers offering group or individual health insurance coverage to provide for 3 primary care visits and 3 behavioral health care visits without application of any cost-sharing requirement."
116-HB4504,117-HB608,"To amend title X of the Public Health Service Act to require grant recipients to comply with all applicable State and local laws requiring notification or reporting of child abuse, child molestation, sexual abuse, rape, incest, intimate partner violence, or human trafficking, and for other purposes."
116-HB7270,117-HB5597,"To direct the Attorney General of the United States to submit to the Congress a report on Federal criminal offenses, and for other purposes."
116-HR588,117-HR856,"Expressing support for the designation of ""National Amplified Musculoskeletal Pain Syndrome Awareness Day""."
116-HB3617,117-HB418,"To sunset new Federal regulatory rules after 3 years, and for other purposes."
116-HB7753,117-HB2907,"To direct the Secretary of Commerce, in coordination with the heads of other relevant Federal departments and agencies, to conduct an interagency review of and report to Congress on ways to increase the global competitiveness of the United States in attracting foreign direct investment."
116-HB8757,117-HB687,"To amend title 18, United States Code, by increasing the maximum term of imprisonment for the offense of rioting, and for other purposes."
116-HB8557,117-HB3766,"To amend the Packers and Stockyards Act, 1921, to establish a cattle contract library, and for other purposes."
116-HB7918,117-HB3300,"To amend the Safe Drinking Water Act with respect to replacement of lead service lines, and for other purposes."
116-HB8839,117-HB668,"To direct the Secretary of Labor to fund youth workforce investment activities for certain local areas, and for other purposes."
116-HB7567,117-HB1184,"To amend the Federal Food, Drug, and Cosmetic Act to improve the treatment of rare diseases and conditions, and for other purposes."
116-HB8857,117-HB1151,To establish a Consumer Protection Relief Fund to empower lenders to deploy credit to vulnerable borrowers needing access to credit as a result of the COVID-19 pandemic.
116-HB8328,117-HB3663,To support the establishment of an apprenticeship college consortium.
116-HB7535,117-HB1413,"To amend the Food and Nutrition Act of 2008 to expand online benefit redemption options under the supplemental nutrition assistance program, and for other purposes."
116-HB3404,117-HB1782,"To amend the National Firearms Act to require that local chief law enforcement officers be notified of, and provided a 90-day period to deny, firearm transfers."
116-HB4255,117-HB6646,"To prevent the illegal sale of firearms, and for other purposes."
116-HB8776,117-HB731,"To direct the Secretary of Labor to make grants to eligible applicants to provide stipends to individuals enrolled in a pre-apprenticeship program, and for other purposes."
116-HB8568,117-HB828,"To amend title XVIII and title XIX of the Social Security Act to codify certain infection control and emergency preparedness regulations, to prohibit a reduction in the frequency of surveys of skilled nursing facilities and nursing facilities, to prohibit the waiver of certain reporting requirements, and for other purposes."
116-HB8713,117-HB7165,"To amend the Lead-Based Paint Poisoning Prevention Act to provide for additional procedures for families with children under the age of 6, and for other purposes."
116-HB5421,117-HB2209,To amend the Controlled Substances Act to list fentanyl-related substances as schedule I controlled substances.
116-HB3076,117-HB2377,To authorize the issuance of extreme risk protection orders.
116-HB5594,117-HB4671,"To provide for greater county and State consultation with regard to petitions under the Endangered Species Act of 1973, and for other purposes."
116-HB8981,117-HB1235,To prohibit discrimination on the basis of mental or physical disability in cases of anatomical gifts and organ transplants.
116-HB5220,117-HB2593,"To amend the Congressional Budget and Impoundment Control Act of 1974 to provide for a legislative line-item veto to expedite consideration of rescissions, and cancellations of items of new direct spending and limited tax benefits."
116-HB8609,117-HB5494,"To limit the extent to which certain Federal law enforcement agencies may be permitted to conduct law enforcement functions in a jurisdiction without the approval of such jurisdiction, and for other purposes."
116-HB5592,117-HB3110,"To amend the Fair Labor Standards Act of 1938 to expand access to breastfeeding accommodations in the workplace, and for other purposes."
116-HJR106,117-HJR53,Proposing an amendment to the Constitution of the United States to prohibit the use of slavery and involuntary servitude as a punishment for a crime.
116-HB6720,117-HB2418,To provide student loan forgiveness to health care workers who are on the front line in response to COVID-19.
116-HB6676,117-HB4285,"To amend the Public Health Service Act to provide for full repayment under National Health Service Corps Loan Repayment Program in case of a 5-year commitment, and for other purposes."
116-HB8890,117-HB658,"To transfer from the United States Parole Commission to the District of Columbia the authority to grant, deny, and revoke parole and impose conditions on an order of parole, and the authority to modify, revoke, and terminate a term of supervised release and impose conditions on an order of supervised release, in the case of individuals who are imprisoned felons eligible for parole, reparole, or supervised release under the laws of the District of Columbia, and for other purposes."
116-HB3926,117-HB2048,"To amend the Higher Education Act of 1965 in order to improve the service obligation verification process for TEACH Grant recipients, and for other purposes."
116-HB8389,117-HB609,"To amend title 49, United States Code, to require Amtrak to convey of certain properties to the Commonwealth of Pennsylvania, and for other purposes."
116-HB5684,117-HB3540,"To reauthorize the Chesapeake Bay Office of the National Oceanic and Atmospheric Administration, and for other purposes."
