116th Bill Name,117th Bill Name,Cosine Score,Matches,Short Title,Long Title
116-HB1381,117-HB2433,0.9494741742405292,short,Burn Pit Registry Enhancement Act,
116-HB2349,117-HB2310,0.9621516093849755,short,Climate Change Education Act,
116-HB7401,117-HB1616,0.9544927399556797,short & long,Promoting Interagency Coordination for Review of Natural Gas Pipelines Act,"To provide for Federal and State agency coordination in the approval of certain authorizations under the Natural Gas Act, and for other purposes."
116-HB3983,117-HB1616,0.7493203335918256,short & long,Promoting Interagency Coordination for Review of Natural Gas Pipelines Act,"To provide for Federal and State agency coordination in the approval of certain authorizations under the Natural Gas Act, and for other purposes."
116-HB7886,117-HB1945,0.9491091725096779,short,HITS Act Help Independent Tracks Succeed Act,
116-HB1537,117-HB5081,0.9706816897154895,short,Bayard Rustin Stamp Act,
116-HB1626,117-HB231,0.9792026980864807,short,Public Service Spending Integrity Act,
116-HR908,117-HR151,0.9141588162880147,short,Condemning all forms of anti-Asian sentiment as related to COVID-19.,
116-HB8840,117-HB315,0.9661258845694689,short,Medicare Sequester COVID Moratorium Act,
116-HB4866,117-HB4369,0.9666449637041785,long,,"To amend the 21st Century Cures Act to provide for designation of institutions of higher education that provide research, data, and leadership on continuous manufacturing as National Centers of Excellence in Continuous Pharmaceutical Manufacturing, and for other purposes."
116-HB6655,117-HB2744,0.9569202365312702,short,Hazardous Duty Pay for Frontline Federal Workers Act,
116-HB7769,117-HB1732,0.8970288155796408,short,RETAIN Act Retaining Educators Takes Added Investment Now Act,
116-HB958,117-HB2740,0.934131119992861,short,Native Youth and Tribal Officer Protection Act,
116-HB5003,117-HB1491,0.9797440900962827,short,Fair Debt Collection Practices for Servicemembers Act,
116-HB5981,117-HB6889,0.9028480862293552,short,Credit Union Board Modernization Act,
116-HB5464,117-HB7542,0.8990508592773084,short,Congressional Accountability Act Enhancement Act,
116-HB5452,117-HB2599,0.9533567372962733,short,Sandy Duplication of Benefits Fairness Act,
116-HCR97,117-HCR36,0.9692217200584217,short,Establishing the Joint Select Committee on the Events and Activities Surrounding China's Handling of the 2019 Novel Coronavirus.,
116-HB4437,117-HB7261,0.9872655663991371,short,Small Business Flexibility Act,
116-HB6471,117-HB896,0.9378478965570518,short,Dr. Li Wenliang Congressional Gold Medal Act,
116-HB5955,117-HB1401,0.9441269968715934,short,Muhammad Ali Congressional Gold Medal Act,
116-HB6696,117-HB346,0.9661162409452038,short,SUPPLIES Act Shoring Up Personal Protective and Lifesaving Indispensable Equipment Stockpile Act,
116-HB665,117-HB1884,0.9732134695128223,short,Save Oak Flat Act,
116-HB1451,117-HB1245,0.8872294306751651,short,Alice Paul Voter Protection Act,
116-HB7072,117-HB2601,0.9404667810454003,short,SFC Heath Robinson Burn Pit Transparency Act,
116-HB7641,117-HB3278,0.9387481652237408,short & long,To amend the Internal Revenue Code of 1986 to apply the mailbox rule to certain payments made through the Electronic Federal Tax Payment System.,To amend the Internal Revenue Code of 1986 to apply the mailbox rule to certain payments made through the Electronic Federal Tax Payment System.
116-HB7352,117-HB1051,0.9564105228833355,short & long,BROADBAND Leadership Act Barriers and Regulatory Obstacles Avoids Deployment of Broadband Access and Needs Deregulatory Leadership Act,"To amend the Communications Act of 1934 to streamline siting processes for telecommunications service facilities, and for other purposes."
116-HB8230,117-HB6794,0.9850637498199503,short,Integrating New Technologies to Empower Law Enforcement at Our Borders Act,
116-HB7344,117-HB1046,0.9642361259257424,short & long,Federal Broadband Deployment in Unserved Areas Act,To require the Federal Communications Commission to provide broadband availability data to the Department of the Interior.
116-HB43,117-HB118,0.9461413219239568,short,Cyber Vulnerability Disclosure Reporting Act,
116-HB1762,117-HB3382,0.9512170393054363,short,Partner with Korea Act,
116-HB6683,117-HB3782,0.956309399391496,short & long,Relief for America's Small Farmers Act,"To provide loan forgiveness for certain borrowers of Department of Agriculture direct farm loans, and for other purposes."
116-HB9053,117-HB545,0.9738646089309045,short,No Congressional Gun Loophole Act,
116-HB7430,117-HB4249,0.9348372004123362,short & long,Screening With Dignity Act,"To protect the dignity and privacy of transgender and other minority travelers at airport security checkpoints, and for other purposes."
116-HB1517,117-HB3581,0.9401985359019231,short,COMMUTE Act Connecting Opportunities through Mobility Metrics and Unlocking Transportation Efficiencies Act,
116-HB6284,117-HB3628,0.8994888862262187,short,21st Century Smart Cars Act,
116-HB6952,117-HB316,0.968590462054512,short & long,To direct the President to appoint a Medical Supplies Response Coordinator to coordinate the efforts of the Federal Government regarding the supply and distribution of certain supplies and equipment relating to COVID-19.,To direct the President to appoint a Medical Supplies Response Coordinator to coordinate the efforts of the Federal Government regarding the supply and distribution of certain supplies and equipment relating to COVID-19.
116-HB8762,117-HB548,0.9622397909235192,short & long,Fast Track Advanced Apprenticeships Now Act,"To direct the Secretary of Labor to make a determination on whether to approve an occupation as an apprenticeable occupation in a timely manner, and for other purposes."
116-HJR106,117-HJR53,0.9671710930141116,short & long,Proposing an amendment to the Constitution of the United States to prohibit the use of slavery and involuntary servitude as a punishment for a crime.,Proposing an amendment to the Constitution of the United States to prohibit the use of slavery and involuntary servitude as a punishment for a crime.
116-HJR104,117-HJR53,0.959318782893679,short,Proposing an amendment to the Constitution of the United States to prohibit the use of slavery and involuntary servitude as a punishment for a crime.,
116-HJR92,117-HJR53,0.9617908123746918,short,Proposing an amendment to the Constitution of the United States to prohibit the use of slavery and involuntary servitude as a punishment for a crime.,
116-HB2623,117-HB3010,0.9504974278500375,short,Search and Rescue Dog Protection Act,
116-HB2497,117-HB1416,0.9483528800357698,short,Tribal Adoption Parity Act,
116-HB5971,117-HB9225,0.972680436536906,long,,"To amend the Immigration Services and Infrastructure Improvements Act of 2000 to provide for additional rules regarding processing of immigration applications, and for other purposes."
116-HCR117,117-HCR21,0.9728608468304067,short,"Expressing the sense of Congress that the United States should resume normal diplomatic relations with Taiwan, negotiate a bilateral free trade agreement with Taiwan, and support Taiwan's membership in international organizations.",
116-HB5940,117-HB115,0.9674066344287612,short,"To award a Congressional Gold Medal to Lyndon Baines Johnson, the 36th President of the United States whose visionary leadership secured passage of the landmark Voting Rights Act of 1965, Social Security Amendments Act (Medicare) of 1965, Civil Rights Act of 1964, Higher Education Act of 1965, and Immigration and Naturalization Act of 1965.",
116-HB3938,117-HB3367,0.9676122091822774,short,Gold Star Children Act,
116-HB9018,117-HB4501,0.963625134405721,long,,"To provide for the establishment of the Office for Access to Justice in the Department of Justice, and for other purposes."
116-HR1105,117-HR592,0.959832812558683,short,"Honoring the Buffalo Soldiers who were dishonorably discharged and ultimately had their honorable service restored following events which occurred in 1906 in Brownsville, Texas.",
116-HB2146,117-HB2237,0.9681972311649171,short,GRACE Act Guaranteed Refugee Admission Ceiling Enhancement Act,
116-HB7470,117-HB8790,0.964303582595807,short & long,Building a Health Care Workforce for the Future Act,To amend the Public Health Service Act to help build a stronger health care workforce.
116-HB5604,117-HB8064,0.9771047714106053,short,Advanced Manufacturing Jobs in America Act,
116-HB5220,117-HB2593,0.9875140597865126,long,,"To amend the Congressional Budget and Impoundment Control Act of 1974 to provide for a legislative line-item veto to expedite consideration of rescissions, and cancellations of items of new direct spending and limited tax benefits."
116-HB7336,117-HB1103,0.9751575478322648,short,CABLE Competition Act Consumer Access to Broadband for Local Economies and Competition Act,
116-HB8501,117-HB3737,0.967015107170361,short,"TEAMS Act Tax-preparer Enforcement, Accountability, and Minimum Standards Act",
116-HB848,117-HB756,0.9342203962925205,short,To restrict certain Federal assistance benefits to individuals verified to be citizens of the United States.,
116-HB8622,117-HB170,0.9677780915709345,long,,"To direct the Secretary of Homeland Security to establish national hazard preparation and response exercises, and for other purposes."
116-HB4527,117-HB4148,0.9757192324113513,short,Expanding Health Care Options for Early Retirees Act,
116-HB8988,117-HB4320,0.940158852179564,long,,To amend the Internal Revenue Code of 1986 to reduce the base erosion minimum tax rate for taxable years ending in 2020.
116-HB3971,117-HB6590,0.8565712198711293,short,Senior Citizens Tax Elimination Act,
116-HB2108,117-HB1166,0.9840029548282796,short,Retirement Freedom Act,
116-HB4372,117-HB2027,0.9572110975331048,short,MSI STEM Achievement Act,
116-HB5369,117-HB1122,0.9484764560131772,short,Supporting Mexico Against Corruption Act,
116-HR266,117-HR1018,0.9478026020628695,short,"Recognizing March 31 as ""César Chávez Day"" in honor of the accomplishments and legacy of César Estrada Chávez.",
116-HCR48,117-HR482,0.9648670977213647,short,Supporting National Men's Health Week.,
116-HCR103,117-HR482,0.9128813722499496,short,Supporting National Men's Health Week.,
116-HB600,117-HB649,0.9249682574161381,short,Abby Honold Act,
116-HB6926,117-HB2297,0.9651272736065186,short,MIND Act Meeting IMD Needs with Direction Act,
116-HB75,117-HB44,0.9202937017351802,short,"To amend title 28, United States Code, to provide that the United States district court for the District of Columbia shall have exclusive jurisdiction over actions arising under the immigration laws, and for other purposes.",
116-HB7132,117-HB3583,0.9554606976389788,short,Never Again International Outbreak Prevention Act,
116-HJR50,117-HJR13,0.9789772028928359,short,Proposing a balanced budget amendment to the Constitution requiring that each agency and department's funding is justified.,
116-HB308,117-HB4364,0.9911307579486485,short,"To redesignate Gravelly Point Park, located along the George Washington Memorial Parkway in Arlington County, Virginia, as the Nancy Reagan Memorial Park, and for other purposes.",
116-HB5082,117-HB3377,0.980069215269424,short,Gigabit Opportunity Act,
116-HB2899,117-HB5795,0.9640568091973529,short,Main Street Growth Act,
116-HB5873,117-HB1842,0.9822570694643527,short & long,Harriet Tubman Bicentennial Commemorative Coin Act,To require the Secretary of the Treasury to mint commemorative coins in recognition of the Bicentennial of Harriet Tubman's birth.
116-HB7372,117-HB1536,0.9083735128956378,short,Improving College Affordability for our Guard and Reserve Act,
116-HB5942,117-HB117,0.9685696219303546,short,DHS Cybersecurity On-the-Job Training and Employment Apprentice Program Act,
116-HB1613,117-HB1572,0.934009272092327,short,Democracy Dollars Act,
116-HB2389,117-HB5826,0.9290821782548001,short,"To allow States to elect to observe year-round daylight saving time, and for other purposes.",
116-HB2576,117-HB7252,0.9842316539032264,short,Federal Government Advertising Equity Accountability Act,
116-HB4642,117-HB2400,0.9447050585185709,short & long,Community Broadband Mapping Act,"To allow Rural Utilities Service telecommunications grants to be made for the collection of broadband infrastructure data by local governments, economic development or other community organizations, electric or telephone cooperatives, and small internet providers."
116-HR1038,117-HR215,0.9435465160320913,short,Recognizing the forthcoming centennial of the 1921 Tulsa Race Massacre.,
116-HB6473,117-HB4343,0.9449543157560871,short,Patriot Retention Act,
116-HB3948,117-HB2628,0.9667981860240319,short,Debt Collection Practices Harmonization Act,
116-HB5622,117-HB6910,0.9823690317098609,short,For the relief of Igor Klyuchenko.,
116-HB8396,117-HB1865,0.9566325971434039,short,Jenna Quinn Law,
116-HB5050,117-HB5974,0.9315964854034592,short,Veterans and Consumers Fair Credit Act,
116-HB8927,117-HB7190,0.9575950636092128,short,Federal Gift Shop Tax Act,
116-HB7433,117-HB3641,0.9575854256148222,short,Military Spouse Student Loan Deferment Act,
116-HB6633,117-HB1034,0.956925873095493,short,Domestic Violence Public Health Emergency Guidance Act,
116-HB2499,117-HB6684,0.9427233251881529,short,Hire Student Veterans Act,
116-HB947,117-HB537,0.9240418809990706,short,Supplemental Security Income Equality Act,
116-HB6061,117-HB5646,0.9430899948407651,short,State Justice Improvement Act,
116-HB949,117-HB837,0.9621851636595842,short,Free Speech Fairness Act,
116-HB3346,117-HB4236,0.9336297587976,short,HOPE Act Health Opportunities to Promote Equity Act,
116-HR1093,117-HR283,0.9539153690312738,short,"Establishing a ""Bill of Rights"" to support United States law enforcement personnel nationwide in their work to protect our communities.",
116-HB8593,117-HB2496,0.927136663031811,short,"For the relief of Lucio Enrique Perez Ortiz, Dora Gonzalez Santizo, and Edvin Oriany Perez Gonzalez.",
116-HB5741,117-HB5125,0.9494712167109586,short,Strengthening Innovation in Medicare and Medicaid Act,
116-HB5577,117-HB864,0.9514806705851118,long,,To amend title II of the Social Security Act to exclude from creditable wages and self-employment income wages earned for services by aliens illegally performed in the United States and self-employment income derived from a trade or business illegally conducted in the United States.
116-HB7350,117-HB1067,0.9661683032833855,short & long,Standard FEES Act Standard Fees to Expedite Evaluation and Streamlining Act,"To streamline the process for consideration of applications for the placement of communications facilities on certain buildings and other property owned by the Federal Government, and for other purposes."
116-HB1378,117-HB4206,0.9422830257346023,short,District of Columbia Clemency Home Rule Act,
116-HB5326,117-HB2812,0.9488774539735444,short,Fairness in Nursing Home Arbitration Act,
116-HB6188,117-HB1739,0.8464843228319465,short,Support Our Military Working Dogs Act,
116-HB208,117-HB157,0.9171065818145934,short,Guam Supplemental Security Income Equality Act,
116-HB1266,117-HB1454,0.9333451254975251,short,Ghost Guns Are Guns Act,
116-HR846,117-HR79,0.9664464677255956,short,Urging the people of the United States to observe the month of April of each year as Hazel M. Johnson Environmental Justice Month.,
116-HB2517,117-HB3287,0.9482337688407605,short,United States Postal Service Shipping Equity Act,
116-HB6491,117-HB3193,0.9638075557055129,short,E-BRIDGE Act Eliminating Barriers to Rural Internet Development Grant Eligibility Act,
116-HB3981,117-HB6167,0.9597994321840055,long,,"To establish requirements for quality and discard dates that are, at the option of food labelers, included in food packaging, and for other purposes."
116-HB5337,117-HB5298,0.9197796527762838,long,,"To amend the Robert T. Stafford Disaster Relief and Emergency Assistance Act to provide assistance for common interest communities, condominiums, and housing cooperatives damaged by a major disaster, and for other purposes."
116-HB6248,117-HB1697,0.9779639725156872,short & long,Disability Access to Transportation Act,"To amend title 23, United States Code, to increase accessible transportation for individuals with disabilities."
116-HB8138,117-HB56,0.9807633837026962,short & long,Patient Access to Medical Foods Act,"To amend the Orphan Drug Act with respect to the definition of medical food, and for other purposes."
116-HB5637,117-HB2111,0.9170500023692358,short,Michael Lecik Military Firefighters Protection Act,
116-HB296,117-HB243,0.9554466479729894,short,Title X Abortion Provider Prohibition Act,
116-HR579,117-HR49,0.875686621353827,short,"Expressing the sense of the Congress that a commemorative postage stamp series should be issued honoring women veterans, and that the Citizens' Stamp Advisory Committee should recommend to the Postmaster General that such a stamp series be issued.",
116-HB4670,117-HB8700,0.9872735851472871,short,Simplifying Student Loans Act,
116-HB4639,117-HB6537,0.9797339460470871,short,Pell Grant Sustainability Act,
116-HB5784,117-HB7313,0.955383319020565,long,,"To amend the Higher Education Act of 1965 to improve programs for minority students in STEM fields, and for other purposes."
116-HB7492,117-HB1740,0.9475290304343251,short,To designate all of Puerto Rico as an opportunity zone.,
116-HB5506,117-HB388,0.9027933508587239,short & long,Hawaii Invasive Species Protection Act,"To amend the Farm Security and Rural Investment Act of 2002 by requiring preclearance quarantine inspections for all movement to or from the State of Hawaii by either domestic or international travel, and for other purposes."
116-HB7086,117-HB1322,0.9264100159626968,short & long,Fiscal State of the Union Act,"To require an annual fiscal state of the union, and for other purposes."
116-HB6998,117-HB1261,0.9196234494796847,short,"To amend the Omnibus Parks and Public Lands Management Act of 1996 to reauthorize the Ohio & Erie National Heritage Canalway, and for other purposes.",
116-HB8916,117-HB1288,0.9500154343894375,short & long,"To amend the Gullah/Geechee Cultural Heritage Act to extend the authorization of the Gullah/Geechee Cultural Heritage Corridor Commission, and for other purposes.","To amend the Gullah/Geechee Cultural Heritage Act to extend the authorization of the Gullah/Geechee Cultural Heritage Corridor Commission, and for other purposes."
116-HB599,117-HB244,0.9597696238129091,short,Executive Branch Conflict of Interest Act,
116-HB6759,117-HB244,0.9494581285594076,short,Executive Branch Conflict of Interest Act,
116-HB4341,117-HB1569,0.968027204049989,long,,"To assist in the conservation of critically endangered species in foreign countries, and for other purposes."
116-HB7421,117-HB1049,0.9249063235132831,short,Expediting Federal Broadband Deployment Reviews Act,
116-HB1104,117-HB271,0.9679110741352336,short,"To amend the Federal Food, Drug, and Cosmetic Act to require labeling of genetically engineered fish.",
116-HR876,117-HR172,0.9621754685621652,short,"Expressing support for the designation of February 28, as ""Desert Storm Veterans Day"".",
116-HB8493,117-HB1772,0.9538703944659902,short,Passports for Purple Hearts Act,
116-HB9015,117-HB4960,0.9851644798600399,short,Preserving Existing Nuclear Energy Generation Act,
116-HB1705,117-HB2715,0.9737065575986456,short & long,Jaime’s Law,To prevent the purchase of ammunition by prohibited purchasers.
116-HB3566,117-HB4823,0.9477711398641255,short,Social Security Disability Insurance Return to Work Act,
116-HB1029,117-HB4719,0.8787324686301846,short,Space Resources Institute Act,
116-HB981,117-HB614,0.9479369573772344,short,Put School Counselors Where They’re Needed Act,
116-HB902,117-HB6128,0.9505930670321436,short,Protect American IPR Act,
116-HB6124,117-HB5289,0.9361058907133214,short,Assistance for Firms Harmed by Tariffs on Exports Act,
116-HB7743,117-HB5361,0.979781448392703,long,,"To require the Secretary of Housing and Urban Development to establish a national evictions database, and for other purposes."
116-HB8339,117-HB691,0.9542990097041603,short,Expanding Opportunity through Pre-Apprenticeships Act,
116-HB5234,117-HB2141,0.9572597323634454,short,Motorcyclist Advisory Council Reauthorization Act,
116-HB5262,117-HB1990,0.9695805405262159,short,Medicare Orthotics and Prosthetics Patient-Centered Care Act,
116-HB1701,117-HB2345,0.9253677872851136,short,Federal Government Decentralization Commission Act,
116-HR425,117-HR1161,0.9764601391392114,short,Recognizing the significance of National Caribbean American Heritage Month.,
116-HR38,117-HR871,0.9291018622524421,short,Supporting the goals and ideals of Korean American Day.,
116-HR537,117-HR550,0.9456937758323015,short,Expressing the sense of the House of Representatives regarding United States policy recognizing the Assyrian Genocide.,
116-HB5474,117-HB3176,0.9349295322568901,short,Shawnee Wilderness Designation Act,
116-HB1861,117-HB8787,0.9549357717120383,short,ZZZ’s to A’s Act,
116-HB8626,117-HB448,0.9377350074530648,short & long,Energy Resilient Communities Act,"To direct the Secretary of Energy to carry out a grant program to improve the energy resilience, energy democracy, and security of communities, prioritizing environmental justice communities, and for other purposes."
116-HB186,117-HB5354,0.971258844044992,short,Veterans Jobs Opportunity Act,
116-HB7768,117-HB969,0.98250086720004,long,,"To require that independent agencies comply with all requirements of rulemaking, and for other purposes."
116-HR335,117-HR1022,0.8959760841567134,short,Expressing support for the recognition of April as Arab American Heritage Month and celebrating the heritage and culture of Arab Americans in the United States.,
116-HR948,117-HR1022,0.8931254192754764,short,Expressing support for the recognition of April as Arab American Heritage Month and celebrating the heritage and culture of Arab Americans in the United States.,
116-HB2421,117-HB2947,0.9559960859932359,short,ALERT Act Accountability of Leaders in Education to Report Title IX Investigations Act,
116-HB3740,117-HB2086,0.9798752109275713,long,,"To amend the Immigration and Nationality Act to simplify and rename the H-2C worker program, and for other purposes."
116-HR272,117-HR284,0.9669595538322168,short,Affirming that all men and women are created equal.,
116-HB5137,117-HB2220,0.9644348895071279,short,"To amend title 40, United States Code, to modify the treatment of certain bargain-price options to purchase at less than fair market value, and for other purposes.",
116-HCR6,117-HCR69,0.9781003171339977,short,Providing for a joint session of Congress to receive a message from the President.,
116-HR1223,117-HR1504,0.9327259037186202,short,Supporting the goals of World AIDS Day.,
116-HB1540,117-HB4851,0.9290383677118903,short,Protecting Our Widows and Widowers in Retirement (POWR) Act,
116-HB7368,117-HB3942,0.9643352698036162,short & long,Brandon Act,"To amend title 10, United States Code, to improve the process by which a member of the Armed Forces may be referred for a mental health evaluation."
116-HB315,117-HB1146,0.9685432874484157,short,Community Reclamation Partnerships Act,
116-HB6581,117-HB986,0.9630366079072336,short,Robust International Response to Pandemic Act,
116-HB5533,117-HB445,0.9715717656703663,short,For the relief of Yazmin Fabiola Juarez Coyoy.,
116-HB2688,117-HB4344,0.9667719516959665,short,Salad Bars in Schools Expansion Act,
116-HB4571,117-HB4532,0.8695472962421591,short & long,Accelerating Individuals into the Workforce Act,To provide for the conduct of demonstration projects to test the effectiveness of subsidized employment for TANF recipients.
116-HB5419,117-HB5704,0.9696458163414684,short,Gig Is Up Act,
116-HB6247,117-HB3199,0.9769969705757751,short & long,Partnerships for American Jobs Act,"To establish a competitive grant program at the U.S. Department of Education to support the development, production, and distribution of public media programming designed to prepare Americans for in-demand occupations that address the needs of State and local economies."
116-HB2817,117-HB627,0.9195580517986904,long,,"To amend title 18, United States Code, to prohibit taking minors across State lines in circumvention of laws requiring the involvement of parents in abortion decisions."
116-HB2149,117-HB233,0.9094791880534929,short,Exposing the Financing of Human Trafficking Act,
116-HB4433,117-HB4152,0.9194641558005212,short,Appalachian Regional Energy Hub Initiative Act,
116-HB8386,117-HB2985,0.9662756209175718,long,,"To amend the Omnibus Crime Control and Safe Streets Act of 1968 to provide for the eligibility of rural community response pilot programs for funding under the Comprehensive Opioid Abuse Grant Program, and for other purposes."
116-HB6666,117-HB726,0.9443511192335503,short,"COVID–19 Testing, Reaching, And Contacting Everyone (TRACE) Act",
116-HB7860,117-HB1194,0.9500775658779392,short & long,Expanding Access to Emergency Meals Act,To amend the Robert T. Stafford Disaster Relief and Emergency Assistance Act to ensure food assistance during a major disaster or emergency declared under such Act.
116-HB4161,117-HB3124,0.9717876740386161,short,COMP Act Coordination Of Medicare Payments and Worker’s Compensation Act,
116-HB8596,117-HB277,0.959864428830063,short & long,Limiting Section 230 Immunity to Good Samaritans Act,"To amend the Communications Act of 1934 to provide accountability for bad actors who abuse the Good Samaritan protections provided under that Act, and for other purposes."
116-HB5903,117-HB1675,0.9537232225669405,short,TRAIN Act Transit Revitalization And Infrastructure Needs Act,
116-HB3786,117-HB1586,0.9687786920664415,short & long,Student Loan Reform Act,"To amend the Higher Education Act of 1965 to direct the Secretary of Education to carry out a program under which an institution of higher education may elect to cosign Federal student loans made to students attending the institution, and for other purposes."
116-HB8926,117-HB1845,0.9858366693057992,short & long,American High-Speed Rail Act,"To amend chapter 261 of title 49, United States Code, to provide for high-speed rail corridor development, and for other purposes."
116-HB8958,117-HB1350,0.9844408177164314,short & long,Supporting Best Practices for Healthy Moms Act,To require the Secretary of Health and Human Services to publish guidance for States on strategies for maternal care providers participating in the Medicaid program to reduce maternal mortality and severe morbidity with respect to individuals receiving medical assistance under such program.
116-HB3404,117-HB1782,0.9251313276713511,long,,"To amend the National Firearms Act to require that local chief law enforcement officers be notified of, and provided a 90-day period to deny, firearm transfers."
116-HB211,117-HB1774,0.9154044046648769,short,Hold Congress Accountable Act,
116-HR755,117-HR34,0.9406894436475176,short,"Impeaching Donald John Trump, President of the United States, for high crimes and misdemeanors.",
116-HR13,117-HR34,0.8467766474057767,short,"Impeaching Donald John Trump, President of the United States, for high crimes and misdemeanors.",
116-HB7420,117-HB3930,0.9601185713307221,short,Voices for Veterans Act,
116-HB8215,117-HB4258,0.9468859274861812,long,,"To establish a governmentwide approach to improving digital identity, and for other purposes."
116-HB6428,117-HB6776,0.9865352886722829,long,,"To provide for the exemption of certain earnings from the retirement earnings test, and for other purposes."
116-HB1504,117-HB1278,0.9341012644474693,short,Know Your Polling Place Act,
116-HB7601,117-HB2622,0.965528053047365,short,CONFUCIUS Act Concerns Over Nations Funding University Campus Institutes in the United States Act,
116-HB1459,117-HB2409,0.9305248844754771,short,U.S.-Israel Cooperation Expansion Act,
116-HB1755,117-HB2996,0.9906704511818467,short,"ARTICLE ONE Act Assuring that Robust, Thorough, and Informed Congressional Leadership is Exercised Over National Emergencies Act",
116-HB5978,117-HB5555,0.986970895253064,short,MADE HERE Act Manufacturing American Dynamism in Entrepreneurship and Harnessing Education to Retool Employees Act,
116-HB2534,117-HB2655,0.9397657391640535,short,Insider Trading Prohibition Act,
116-HB8302,117-HB559,0.9807111827490231,long,,To promote the furtherance of standards necessary to safeguard the welfare of apprentices.
116-HB2976,117-HB3574,0.974579790234549,short,Filing Relief for Natural Disasters Act,
116-HB6183,117-HB1343,0.9531388786760399,short,Voting Access Act,
116-HB8578,117-HB624,0.9814810798838645,short & long,Parris Island Protection Act,"To prohibit the use of Federal funds to close or realign the Marine Corps Recruit Depot located at Parris Island, South Carolina."
116-HB7753,117-HB2907,0.9144951414575136,long,,"To direct the Secretary of Commerce, in coordination with the heads of other relevant Federal departments and agencies, to conduct an interagency review of and report to Congress on ways to increase the global competitiveness of the United States in attracting foreign direct investment."
116-HB5110,117-HB4924,0.9412551343839708,short,APPRISE Act All Participating in Process Reaching Informed Solutions for Everyone Act,
116-HB2107,117-HB7040,0.9845155205731431,short,Affordable College Textbook Act,
116-HR544,117-HR1305,0.960853770174117,short,Recognizing Islam as one of the great religions of the world.,
116-HR1090,117-HR1305,0.9791467530795607,short,Recognizing Islam as one of the great religions of the world.,
116-HB2378,117-HB5636,0.9419528630394081,short,Kerrie Orozco First Responders Family Support Act,
116-HB5142,117-HB1327,0.9608565568669533,short,Green Energy for Federal Buildings Act,
116-HB248,117-HB916,0.9680247406538941,short,REDUCE Act Rebalance for an Effective Defense Uniformed and Civilian Employees Act,
116-HB4707,117-HB2059,0.9544954926430816,short,Federal Firefighter Flexibility and Fairness Act,
116-HB5641,117-HB2205,0.9792674247796812,short & long,Incentivizing Value Capture for Greener Transportation Act,"To amend title 49, United States Code, to provide grants and develop value capture policy."
116-HB6750,117-HB650,0.9649563388273006,short,STOP Act Senior abuse Training and Offense Prevention Act,
116-HB2024,117-HB1232,0.9661553768455616,short,Diplomatic Personnel Modernization Act,
116-HB4197,117-HB6496,0.9658437086317074,short,Revitalizing Cities Through Parks Enhancement Act,
116-HB2694,117-HB1065,0.9016048047558795,short,Pregnant Workers Fairness Act,
