Bill Name,Committee Name,Congress
116-HB4008,Financial Services,116
116-HB4404,Energy And Commerce,116
116-HB8096,Agriculture,116
116-HB8610,Ways And Means,116
117-HB9372,Transportation And Infrastructure,117
117-HB7947,Energy And Commerce,117
116-HB8827,Financial Services,116
116-HB6221,Ways And Means,116
117-HB5942,Armed Services,117
117-HB6993,Foreign Affairs,117
117-HB4265,Energy And Commerce,117
116-HB2064,Energy And Commerce,116
116-HB3199,Judiciary,116
116-HB6766,Ways And Means,116
117-HB8407,Energy And Commerce,117
116-HB1858,Oversight and Reform,116
117-HB5987,Energy And Commerce,117
117-HB2747,Education and Labor,117
116-HB8493,Foreign Affairs,116
117-HB7202,Financial Services,117
116-HB8971,Foreign Affairs,116
116-HB5868,Transportation And Infrastructure,116
116-HB5223,Financial Services,116
116-HB4353,Energy And Commerce,116
117-HB539,Transportation And Infrastructure,117
116-HB3560,Natural Resources,116
116-HB4634,Financial Services,116
116-HB265,Appropriations,116
117-HB1714,Energy And Commerce,117
117-HB670,Natural Resources,117
116-HB7640,Ways And Means,116
117-HB6006,Ways And Means,117
116-HB3278,Energy And Commerce,116
117-HB7439,Energy And Commerce,117
116-HB544,Oversight and Reform,116
116-HB4429,Energy And Commerce,116
116-HB6562,Ways And Means,116
117-HB4238,Judiciary,117
117-HB2823,Energy And Commerce,117
117-HR382,Ways And Means,117
116-HB7380,Education and Labor,116
116-HB4579,Education and Labor,116
117-HB1516,Administration,117
117-HB5570,Oversight and Reform,117
116-HB667,Transportation And Infrastructure,116
117-HR1406,Education and Labor,117
116-HB6397,Education and Labor,116
117-HB5353,Ways And Means,117
116-HB1061,Natural Resources,116
116-HJR24,Judiciary,116
117-HB231,Oversight and Reform,117
117-HB2513,Financial Services,117
116-HB6619,Ways And Means,116
116-HB7465,Natural Resources,116
116-HB2225,Ways And Means,116
117-HB1525,Natural Resources,117
116-HB2744,Foreign Affairs,116
116-HB7384,Judiciary,116
116-HB6150,Education and Labor,116
116-HB3796,Ways And Means,116
116-HB4798,Judiciary,116
117-HB3209,Energy And Commerce,117
116-HR851,Judiciary,116
116-HB4966,Financial Services,116
116-HB3649,Ways And Means,116
117-HB3933,Transportation And Infrastructure,117
116-HB2784,Energy And Commerce,116
116-HB113,Oversight and Reform,116
117-HB3987,Oversight and Reform,117
116-HB7085,Judiciary,116
116-HB1749,Veterans' Affairs,116
117-HB5071,Armed Services,117
117-HB5757,Armed Services,117
117-HB7971,Small Business,117
117-HB1044,Energy And Commerce,117
116-HB3574,"Science, Space, And Technology",116
117-HR1337,Transportation And Infrastructure,117
117-HR1522,Oversight and Reform,117
117-HR1279,Small Business,117
116-HB8759,Energy And Commerce,116
116-HB3337,Ways And Means,116
116-HB3382,Energy And Commerce,116
116-HB8147,Veterans' Affairs,116
117-HB2807,Energy And Commerce,117
116-HB7269,Energy And Commerce,116
117-HB3030,Administration,117
117-HB8734,Natural Resources,117
116-HB3156,Transportation And Infrastructure,116
117-HB3664,Judiciary,117
117-HR721,Energy And Commerce,117
116-HB8618,Natural Resources,116
116-HB2076,Education and Labor,116
117-HB4686,Foreign Affairs,117
117-HB7796,Transportation And Infrastructure,117
116-HB8813,Veterans' Affairs,116
116-HB4220,Education and Labor,116
116-HB3002,Energy And Commerce,116
116-HB7064,Financial Services,116
117-HR306,Oversight and Reform,117
116-HB960,Judiciary,116
117-HB841,Energy And Commerce,117
117-HB8994,Energy And Commerce,117
117-HB912,Veterans' Affairs,117
116-HB3110,Intelligence,116
116-HB6794,Financial Services,116
117-HB6890,Transportation And Infrastructure,117
117-HB1414,Administration,117
117-HR493,Judiciary,117
116-HB4989,Energy And Commerce,116
117-HB536,Judiciary,117
116-HB5749,Energy And Commerce,116
117-HB1896,Energy And Commerce,117
116-HB5829,Education and Labor,116
116-HR627,Natural Resources,116
117-HB5007,Energy And Commerce,117
117-HB6783,Energy And Commerce,117
117-HR932,Agriculture,117
116-HB3587,Ways And Means,116
117-HB3674,Veterans' Affairs,117
117-HB2494,Veterans' Affairs,117
117-HB7835,Oversight and Reform,117
117-HB5052,Education and Labor,117
117-HB7435,Ways And Means,117
116-HB8035,Judiciary,116
116-HB6615,Administration,116
117-HB1028,Armed Services,117
116-HB4720,Armed Services,116
116-HB7833,Transportation And Infrastructure,116
116-HB1486,Education and Labor,116
116-HB6758,Small Business,116
117-HR962,Judiciary,117
116-HCR63,Energy And Commerce,116
117-HR337,Oversight and Reform,117
116-HR667,Rules,116
116-HR352,Transportation And Infrastructure,116
117-HB2040,Financial Services,117
117-HB8641,Energy And Commerce,117
116-HB2780,Foreign Affairs,116
116-HR998,Oversight and Reform,116
116-HCR65,Energy And Commerce,116
117-HB3832,Administration,117
117-HB5715,Education and Labor,117
116-HB12,Foreign Affairs,116
117-HB7394,Judiciary,117
117-HB5240,Ways And Means,117
116-HB3093,Armed Services,116
117-HB6892,Judiciary,117
117-HB103,Oversight and Reform,117
116-HB869,Judiciary,116
116-HB5241,Education and Labor,116
116-HB4422,Education and Labor,116
117-HCR6,Administration,117
117-HB8988,Energy And Commerce,117
116-HR1022,Armed Services,116
117-HR159,Education and Labor,117
116-HB5604,Education and Labor,116
116-HB466,Energy And Commerce,116
117-HB5841,Administration,117
116-HB2392,Oversight and Reform,116
116-HB5920,Agriculture,116
117-HB4408,Ways And Means,117
117-HB591,Oversight and Reform,117
116-HB7157,Armed Services,116
116-HB4599,Judiciary,116
116-HB419,Appropriations,116
116-HB6719,Transportation And Infrastructure,116
117-HB2217,Energy And Commerce,117
116-HB8700,Ways And Means,116
116-HB6078,Small Business,116
117-HB8583,Natural Resources,117
116-HB1412,Judiciary,116
116-HB5543,Foreign Affairs,116
117-HR338,Energy And Commerce,117
116-HB1502,Energy And Commerce,116
116-HB4820,Agriculture,116
116-HB4686,Transportation And Infrastructure,116
116-HB9017,Ways And Means,116
116-HB3371,Energy And Commerce,116
116-HB242,Budget,116
116-HB6116,Financial Services,116
117-HB9039,Energy And Commerce,117
116-HB2853,Administration,116
116-HB533,Oversight and Reform,116
116-HB6868,Financial Services,116
116-HR287,Judiciary,116
116-HB7413,Small Business,116
116-HR896,Foreign Affairs,116
117-HB5749,Agriculture,117
116-HB3871,Financial Services,116
117-HB7827,Agriculture,117
117-HB9137,Energy And Commerce,117
117-HB8157,Oversight and Reform,117
117-HR831,Foreign Affairs,117
117-HB5270,Energy And Commerce,117
117-HB3558,Veterans' Affairs,117
116-HB1588,Energy And Commerce,116
117-HR365,Energy And Commerce,117
116-HB5806,Energy And Commerce,116
116-HB3428,Small Business,116
117-HB7944,Veterans' Affairs,117
117-HB7449,Oversight and Reform,117
117-HB4409,Education and Labor,117
117-HB804,Ways And Means,117
116-HB7275,Armed Services,116
117-HB6267,Oversight and Reform,117
117-HB5466,Ways And Means,117
116-HB4403,Financial Services,116
116-HB7537,Ways And Means,116
116-HB7657,Transportation And Infrastructure,116
117-HB5328,Education and Labor,117
116-HB6449,Agriculture,116
116-HB3778,Energy And Commerce,116
116-HB9019,Natural Resources,116
116-HB8008,Judiciary,116
116-HB8007,Financial Services,116
117-HB8967,Natural Resources,117
116-HB1639,Homeland Security,116
117-HB3486,Education and Labor,117
117-HR805,Rules,117
116-HB7970,Oversight and Reform,116
116-HB7433,Education and Labor,116
116-HB599,Judiciary,116
116-HB1477,Foreign Affairs,116
116-HCR3,Foreign Affairs,116
116-HB5545,Energy And Commerce,116
116-HB4193,Education and Labor,116
116-HB6204,Judiciary,116
117-HB6774,Veterans' Affairs,117
117-HB2303,Education and Labor,117
117-HB6438,Natural Resources,117
117-HB7099,Ways And Means,117
117-HB8632,Judiciary,117
116-HR1026,Education and Labor,116
117-HB6200,Natural Resources,117
116-HB4479,Natural Resources,116
116-HB3135,Education and Labor,116
116-HR301,Foreign Affairs,116
117-HB1002,Energy And Commerce,117
116-HR761,Rules,116
116-HB2781,Energy And Commerce,116
116-HB7902,Veterans' Affairs,116
116-HR455,Armed Services,116
116-HB8104,Administration,116
117-HB1782,Ways And Means,117
116-HB8066,Ways And Means,116
116-HB4856,Energy And Commerce,116
117-HB1762,Energy And Commerce,117
117-HB2318,Oversight and Reform,117
116-HB1483,Ways And Means,116
117-HJR42,Judiciary,117
116-HB8407,Financial Services,116
117-HB1666,Education and Labor,117
116-HB7423,Foreign Affairs,116
116-HB7664,Small Business,116
117-HR1137,Foreign Affairs,117
117-HB6928,Energy And Commerce,117
117-HB5625,Energy And Commerce,117
117-HR300,Oversight and Reform,117
116-HB1611,Foreign Affairs,116
116-HB3840,Armed Services,116
116-HB6919,Energy And Commerce,116
116-HB6417,Energy And Commerce,116
116-HB2322,Oversight and Reform,116
117-HB2016,Transportation And Infrastructure,117
116-HB4760,Ways And Means,116
117-HB1251,Foreign Affairs,117
117-HB3812,Foreign Affairs,117
117-HB8480,Oversight and Reform,117
116-HB1253,Oversight and Reform,116
117-HB8737,Ways And Means,117
116-HB7973,Energy And Commerce,116
116-HR1041,Oversight and Reform,116
116-HB3102,Education and Labor,116
117-HB5671,Veterans' Affairs,117
116-HB1413,Ways And Means,116
117-HR357,Oversight and Reform,117
117-HB5928,Veterans' Affairs,117
116-HB461,Energy And Commerce,116
117-HB9167,Ways And Means,117
117-HR90,Foreign Affairs,117
117-HB6530,Energy And Commerce,117
117-HB2052,Transportation And Infrastructure,117
117-HB3282,Energy And Commerce,117
116-HB4521,Agriculture,116
117-HR941,Foreign Affairs,117
117-HB9571,Energy And Commerce,117
117-HB5560,Armed Services,117
117-HB7359,Energy And Commerce,117
117-HR517,Oversight and Reform,117
117-HB1828,Education and Labor,117
117-HB105,Ways And Means,117
116-HB7254,Ways And Means,116
116-HB7988,Ways And Means,116
117-HB7305,Ways And Means,117
116-HB3583,Judiciary,116
117-HB8619,Ways And Means,117
116-HB9003,Foreign Affairs,116
117-HB2937,Transportation And Infrastructure,117
116-HB570,Judiciary,116
117-HB6383,Foreign Affairs,117
117-HB7409,Natural Resources,117
116-HB1720,Transportation And Infrastructure,116
116-HB7476,Veterans' Affairs,116
116-HR555,Judiciary,116
117-HB392,Oversight and Reform,117
116-HR749,Energy And Commerce,116
117-HR1445,Energy And Commerce,117
116-HB2763,Financial Services,116
116-HB6212,Veterans' Affairs,116
117-HB6595,Ways And Means,117
117-HB5276,Small Business,117
116-HB3806,Judiciary,116
117-HR1007,Oversight and Reform,117
116-HB7671,Financial Services,116
117-HR21,Judiciary,117
117-HB5644,Ways And Means,117
117-HB6185,Judiciary,117
116-HB917,Oversight and Reform,116
116-HB7854,Oversight and Reform,116
116-HB6218,Energy And Commerce,116
117-HB398,Judiciary,117
117-HB3414,Financial Services,117
116-HB1974,Ways And Means,116
116-HB2954,Armed Services,116
116-HB5336,Financial Services,116
117-HB9336,Energy And Commerce,117
116-HB5814,Judiciary,116
116-HB8126,Education and Labor,116
117-HB7116,Energy And Commerce,117
116-HB5346,Judiciary,116
116-HB5479,Energy And Commerce,116
117-HB2471,Foreign Affairs,117
116-HB4555,Education and Labor,116
116-HR1167,Oversight and Reform,116
117-HR1452,Oversight and Reform,117
116-HB2009,Energy And Commerce,116
117-HB5825,Oversight and Reform,117
117-HB2538,Foreign Affairs,117
117-HB7893,Transportation And Infrastructure,117
116-HB663,Armed Services,116
117-HB4892,Energy And Commerce,117
116-HB6940,Energy And Commerce,116
117-HB8761,Judiciary,117
117-HR1000,Foreign Affairs,117
117-HB7612,Natural Resources,117
117-HB3980,Energy And Commerce,117
117-HB9090,Energy And Commerce,117
117-HR975,Energy And Commerce,117
116-HB2145,Ways And Means,116
117-HB7232,Energy And Commerce,117
117-HB974,Budget,117
117-HR867,Foreign Affairs,117
117-HB7410,Ways And Means,117
117-HCR63,Administration,117
116-HB6500,Ways And Means,116
116-HB3015,Armed Services,116
117-HB300,Transportation And Infrastructure,117
117-HB2177,Transportation And Infrastructure,117
116-HB7592,Financial Services,116
116-HB8800,Financial Services,116
116-HR361,Armed Services,116
117-HB2777,"Science, Space, And Technology",117
116-HB8745,"Science, Space, And Technology",116
117-HB2467,Energy And Commerce,117
117-HB3776,Transportation And Infrastructure,117
116-HB5110,Transportation And Infrastructure,116
116-HB4788,Education and Labor,116
117-HB1045,Energy And Commerce,117
117-HB1102,Oversight and Reform,117
116-HB4863,Financial Services,116
116-HB622,Appropriations,116
117-HB3330,Natural Resources,117
116-HB2817,Judiciary,116
116-HB5019,Veterans' Affairs,116
116-HB567,Ways And Means,116
117-HB7195,Financial Services,117
117-HB6378,Judiciary,117
116-HB7093,Small Business,116
116-HB6278,Oversight and Reform,116
117-HR347,Oversight and Reform,117
116-HJR42,Education and Labor,116
117-HB2521,Veterans' Affairs,117
117-HR650,Oversight and Reform,117
116-HB8508,Financial Services,116
117-HB3385,Judiciary,117
116-HB6233,Ways And Means,116
116-HB1824,Energy And Commerce,116
116-HB5891,Transportation And Infrastructure,116
116-HB6240,Oversight and Reform,116
117-HB8339,Foreign Affairs,117
116-HB7934,"Science, Space, And Technology",116
117-HB8163,Energy And Commerce,117
116-HB7700,Education and Labor,116
116-HB158,Ways And Means,116
116-HR693,Administration,116
117-HCR94,Foreign Affairs,117
117-HB3672,Armed Services,117
117-HB6343,Financial Services,117
116-HB4853,Education and Labor,116
116-HB6743,Ways And Means,116
116-HB3684,Natural Resources,116
116-HB6280,Ways And Means,116
117-HR193,Education and Labor,117
117-HB1110,Judiciary,117
116-HB5854,Education and Labor,116
116-HR330,Energy And Commerce,116
117-HB7430,Ways And Means,117
117-HB3582,Ways And Means,117
117-HB3099,Financial Services,117
116-HR189,Foreign Affairs,116
116-HB6696,Small Business,116
116-HB4988,Oversight and Reform,116
117-HB4137,Judiciary,117
116-HB6962,Energy And Commerce,116
117-HB1779,Agriculture,117
116-HB4998,Energy And Commerce,116
117-HB4482,Ways And Means,117
116-HB6497,Financial Services,116
117-HB4789,Administration,117
117-HB322,Administration,117
117-HB7219,Education and Labor,117
116-HB20,Energy And Commerce,116
117-HB8322,Oversight and Reform,117
116-HB5979,Ways And Means,116
117-HJR65,Education and Labor,117
116-HB5010,Energy And Commerce,116
116-HB2320,Foreign Affairs,116
117-HB8394,Judiciary,117
116-HB3466,Ways And Means,116
116-HB1145,Judiciary,116
117-HB4848,Homeland Security,117
116-HJR90,Financial Services,116
117-HB4401,Energy And Commerce,117
116-HB8718,Administration,116
117-HB2313,Agriculture,117
116-HB5363,Education and Labor,116
116-HB389,Financial Services,116
117-HB8759,Ways And Means,117
117-HB8549,Education and Labor,117
116-HR512,Foreign Affairs,116
116-HB5942,Homeland Security,116
117-HB5854,Judiciary,117
117-HB4024,Ways And Means,117
117-HB2084,Oversight and Reform,117
117-HR1022,Oversight and Reform,117
116-HB5116,Financial Services,116
117-HB3333,Financial Services,117
116-HCR23,Foreign Affairs,116
116-HB1264,Energy And Commerce,116
116-HB867,Judiciary,116
117-HB3139,Energy And Commerce,117
116-HR1104,Oversight and Reform,116
116-HB4136,Oversight and Reform,116
116-HB1204,Oversight and Reform,116
116-HB1259,Financial Services,116
117-HB6379,Financial Services,117
117-HB8658,Financial Services,117
117-HB3567,Veterans' Affairs,117
117-HB3668,Transportation And Infrastructure,117
116-HB5533,Judiciary,116
116-HB2428,Energy And Commerce,116
116-HB526,Foreign Affairs,116
116-HB6104,Transportation And Infrastructure,116
116-HB6267,Natural Resources,116
116-HB3730,Small Business,116
117-HB7431,Veterans' Affairs,117
117-HB1047,Natural Resources,117
117-HB1296,Oversight and Reform,117
117-HB3173,Ways And Means,117
117-HR1478,Judiciary,117
117-HB1745,Transportation And Infrastructure,117
117-HB6337,Natural Resources,117
116-HB5654,Energy And Commerce,116
116-HB3464,Education and Labor,116
116-HB4750,Judiciary,116
117-HB4259,"Science, Space, And Technology",117
116-HB9007,Energy And Commerce,116
116-HB8828,Energy And Commerce,116
116-HB8469,Natural Resources,116
116-HB4562,Transportation And Infrastructure,116
116-HB8933,Energy And Commerce,116
116-HR358,Foreign Affairs,116
116-HR328,Financial Services,116
116-HB8306,Veterans' Affairs,116
117-HB7312,Foreign Affairs,117
117-HB1496,Judiciary,117
116-HB3857,Judiciary,116
117-HB8918,Financial Services,117
116-HB333,Armed Services,116
116-HB3016,Energy And Commerce,116
117-HR478,Foreign Affairs,117
116-HB4571,Ways And Means,116
116-HB6877,Energy And Commerce,116
117-HB8590,Agriculture,117
116-HB4489,Energy And Commerce,116
116-HB143,Natural Resources,116
